,Plant ID,Plant Name,m,b,rsquared
0,2589.0,Nine Mile Point Nuclear Station,0.7684793882027621,3.962970746807796,0.900352880895574
1,3265.0,Oconee,0.5770950283881627,9.851814496523875,0.5785220082837869
2,6000.0,Donald C Cook,0.807460109874267,3.2949529828036423,0.7323308376609805
3,4046.0,Point Beach Nuclear Plant,0.4504186910064102,5.471515075595756,0.8540419164670071
4,46.0,Browns Ferry,0.9249716615453887,5.487117143703263,0.9243092781762335
5,8036.0,Cooper Nuclear Station,0.7521161638653886,6.10485844692194,0.9322661536038637
6,3806.0,Surry,0.9881582306642933,3.3738117793988227,0.9553518934137875
7,6045.0,St Lucie,0.6273613507066448,10.1900617994595,0.7168688386713706
8,880.0,Quad Cities Generating Station,0.9305903295362209,3.481010101913028,0.974579502060922
9,6099.0,Diablo Canyon,-0.008413377190004526,12.770104518016936,0.0003686396949417192
10,6110.0,James A Fitzpatrick,0.6047898241654072,8.053849004171255,0.8342806174108478
11,6115.0,Seabrook,0.373664198103265,5.19151265434957,0.66874775549356
12,6038.0,McGuire,0.7257783458487721,8.895838807812357,0.840814588749074
13,566.0,Millstone,0.7167074174018356,4.816226698578186,0.8942626367240482
14,6014.0,Brunswick Nuclear,0.9766374426526846,0.9796699315232047,0.9733089251645797
15,6011.0,Calvert Cliffs Nuclear Power Plant,0.910968505356493,3.173586986636085,0.900531183716188
16,6168.0,North Anna,0.8881749850189296,6.123394421954255,0.9239501362698145
